,id,questions
5,a416c6e5-c27d-42cb-9b31-0d1cef0d5356,This 5-star hedgehog rolls recipe looks kid-friendly — any tips for making it easy for first-time bakers?
5,a416c6e5-c27d-42cb-9b31-0d1cef0d5356,"Can I substitute the 25g butter or the flaked almonds in these hedgehog rolls, and will that affect the texture?"
6,2b5a9a25-3318-44f6-b2c8-e1d8e82d5126,Quick granary rolls recipe using malted granary and strong white flour — ready in about 35 minutes?
6,2b5a9a25-3318-44f6-b2c8-e1d8e82d5126,Easy granary loaf or roll recipe that uses an egg and olive oil — good for beginner bakers?
6,2b5a9a25-3318-44f6-b2c8-e1d8e82d5126,What is the calorie and protein count for these homemade granary rolls (around 232 kcal and 9g protein)?
6,2b5a9a25-3318-44f6-b2c8-e1d8e82d5126,Highly rated (5-star) basic granary bread dough for making rolls or a large loaf — how many portions does it make?
6,2b5a9a25-3318-44f6-b2c8-e1d8e82d5126,Simple yeast granary roll recipe with easy-blend yeast and warm milk — what are the prep and bake times?
7,a2ab04eb-1465-4a3e-a6f3-64dcf462e6fc,How do I make easy tear-and-share cheese & garlic rolls with mozzarella and cheddar in about 80 minutes?
7,a2ab04eb-1465-4a3e-a6f3-64dcf462e6fc,Looking for a cheesy garlic tear-and-share bread recipe (grated mozzarella + cheddar) for a barbecue — any suggestions?
7,a2ab04eb-1465-4a3e-a6f3-64dcf462e6fc,Simple tear-and-share bread rolls with garlic and a polenta-lined tray — is there an easy recipe for that?
7,a2ab04eb-1465-4a3e-a6f3-64dcf462e6fc,Tear-and-share cheese and garlic rolls using fast-action dried yeast — good family dinner side dish idea?
7,a2ab04eb-1465-4a3e-a6f3-64dcf462e6fc,Is there a 4-star tear-and-share cheese & garlic rolls recipe that uses softened butter and a single grated garlic clove?
8,878e7fe1-e28f-4372-876d-c7fe549db8bd,"Cheese & pesto whirls with mozzarella and sun-dried tomatoes — tear-and-share rolls perfect for a picnic, about 80 minutes total?"
8,878e7fe1-e28f-4372-876d-c7fe549db8bd,"Are there 5-star herby tear-and-share bread rolls that use fresh pesto, semi-dried tomatoes and grated mozzarella?"
8,878e7fe1-e28f-4372-876d-c7fe549db8bd,How difficult are cheese and pesto whirls (recipe marked 'more effort') — suitable for an enthusiastic home baker?
8,878e7fe1-e28f-4372-876d-c7fe549db8bd,Can I make pesto and mozzarella tear-and-share rolls with basil ahead of time for dipping into soup?
8,878e7fe1-e28f-4372-876d-c7fe549db8bd,"Looking for a bread roll recipe: pesto, parmesan and sun-dried tomatoes folded into whirls — 40 min prep and 40 min cook?"
9,47f524ce-c4d4-49e7-a70a-2e71a2731528,Easy cheese roll-ups with mature cheddar and paprika — kid-friendly recipe that takes about 55 minutes total?
9,47f524ce-c4d4-49e7-a70a-2e71a2731528,How do I make soft bread rolls using self-raising flour and 50g grated mature cheddar (around 218 kcal per roll)?
9,47f524ce-c4d4-49e7-a70a-2e71a2731528,Beginner-friendly CBeebies 'I Can Cook' cheese buns — simple dough method with 30 minutes prep?
9,47f524ce-c4d4-49e7-a70a-2e71a2731528,Cheesy roll-ups that bake for about 25 minutes and use 50g butter and milk — is there a straightforward recipe?
9,47f524ce-c4d4-49e7-a70a-2e71a2731528,"Low-sugar cheese bread roll recipe for kids using 100–125ml milk and ready-grated mature cheddar, rated 4/5?"
10,ee080c75-002e-446e-8db8-ae15c02abf2d,How can I make easy Turkish simit bread (sesame rings) using pomegranate molasses in about 45 minutes?
10,ee080c75-002e-446e-8db8-ae15c02abf2d,Beginner-friendly simit recipe that uses fast-action dried yeast and 100g sesame seeds?
10,ee080c75-002e-446e-8db8-ae15c02abf2d,Authentic street-style simit — is there a simple recipe with strong white bread flour and caster sugar?
10,ee080c75-002e-446e-8db8-ae15c02abf2d,Quick breakfast simit similar to Turkish vendors: prep ~30 minutes and bake ~15 minutes — any tips?
10,ee080c75-002e-446e-8db8-ae15c02abf2d,Top-rated (5-star) simit bread recipe that uses pomegranate molasses or molasses syrup for glazing?
11,f91dd68c-aef8-4528-8e03-db03baf98381,Do you have Paul Hollywood's easy Roquefort & walnut rolls recipe that uses a mix of wholemeal and strong white flour and takes about 50 minutes total?
11,f91dd68c-aef8-4528-8e03-db03baf98381,How do I make savory rolls with crumbled Roquefort and 140g walnuts — a simple home-bakable method with a 20-minute bake?
11,f91dd68c-aef8-4528-8e03-db03baf98381,Looking for a 5-star easy blue cheese and walnut roll recipe — roughly 492 kcal and 18g protein per portion; is there one like this?
11,f91dd68c-aef8-4528-8e03-db03baf98381,"Easy Roquefort & walnut bread rolls that use butter and two eggs — what are the prep and cook times (prep ~30 min, cook ~20 min)?"
11,f91dd68c-aef8-4528-8e03-db03baf98381,Can I swap Roquefort for another blue cheese in Paul Hollywood's walnut rolls and still keep the same flavor and texture?
12,e6eeb897-93b9-45d0-908f-0bb7897b122a,Easy jalapeño & cheddar corn rolls with polenta and sweetcorn — is there a 50-minute recipe for these?
12,e6eeb897-93b9-45d0-908f-0bb7897b122a,Can I make jalapeño and cheddar corn rolls ahead and freeze them after baking?
12,e6eeb897-93b9-45d0-908f-0bb7897b122a,"Looking for a simple veggie bread roll recipe using buttermilk, cornmeal and mature cheddar with sliced jalapeños"
12,e6eeb897-93b9-45d0-908f-0bb7897b122a,Quick savory corn rolls (polenta + sweetcorn) — good as a side for BBQs or burgers?
12,e6eeb897-93b9-45d0-908f-0bb7897b122a,Where can I find an easy corn roll recipe that combines cheddar and jalapeños and uses cornmeal/corn polenta?
13,4ff2b742-f9fb-4875-928f-7b551da32de5,50-minute olive bread swirls with black and green olives and basil — where can I find that recipe?
13,4ff2b742-f9fb-4875-928f-7b551da32de5,"Savoury olive rolls made with extra-virgin olive oil, garlic and optional anchovies — recipe for a lunch party?"
13,4ff2b742-f9fb-4875-928f-7b551da32de5,Bread swirl recipe using strong white flour and dried yeast (more effort) with olives and basil — how to make it?
13,4ff2b742-f9fb-4875-928f-7b551da32de5,Nutrition for olive bread swirls — is it about 258 kcal and 6g protein per portion?
13,4ff2b742-f9fb-4875-928f-7b551da32de5,Highly rated savoury olive swirls (black olives + green olives) — step-by-step recipe for party rolls?
14,0cf32020-3175-48ae-9299-c36404417c70,"Looking for a picnic-friendly tear-and-share loaf stuffed with pesto, mozzarella and artichokes — any recipes like that?"
14,0cf32020-3175-48ae-9299-c36404417c70,How long does a ciabatta-style tear-and-share stuffed deli roll take to make (about 25 min prep and 50 min cook)?
14,0cf32020-3175-48ae-9299-c36404417c70,"Is there a more-effort pull-apart bread recipe rated 4 that uses pesto, roasted peppers and chopped mozzarella for sharing?"
14,0cf32020-3175-48ae-9299-c36404417c70,Can I make tear-and-share stuffed rolls using a store-bought ciabatta bread mix and jarred roasted peppers?
14,0cf32020-3175-48ae-9299-c36404417c70,"Recipe ideas for a pull-apart deli loaf with pesto, artichoke in olive oil and torn basil—good for serving a group?"
15,9a8e0ed8-5f6b-4296-b2c5-c6052475bb73,Easy pão de queijo (Brazilian cheese bread) recipe with tapioca flour and Parmesan — ready in about 50 minutes?
15,9a8e0ed8-5f6b-4296-b2c5-c6052475bb73,"How can I make light, fluffy cheese puffs (Brazilian pão de queijo) using milk, butter and eggs?"
15,9a8e0ed8-5f6b-4296-b2c5-c6052475bb73,Gluten-free Brazilian cheese rolls made with tapioca flour and 100g grated Parmesan — simple 4-star recipe?
15,9a8e0ed8-5f6b-4296-b2c5-c6052475bb73,Quick bread roll recipe: pão de queijo that bakes for 30 minutes and is easy for beginners?
15,9a8e0ed8-5f6b-4296-b2c5-c6052475bb73,"Warm, soft Brazilian cheese bread to serve as a snack — recipe using tapioca flour and grated Parmesan?"
16,e2113ae1-8af1-4943-9108-f86e981479af,Soft brioche buns enriched with eggs and milk — recipe for sesame-topped burger buns?
16,e2113ae1-8af1-4943-9108-f86e981479af,Quick brioche buns using dried (not fast-action) yeast — total time about 35 minutes?
16,e2113ae1-8af1-4943-9108-f86e981479af,Easy brioche rolls perfect for splitting and filling with pulled pork or barbecued meat?
16,e2113ae1-8af1-4943-9108-f86e981479af,How do I make brioche buns glazed with beaten egg and sprinkled with sesame seeds?
16,e2113ae1-8af1-4943-9108-f86e981479af,Beginner-friendly 4-star brioche buns with 15 min prep and 20 min bake — suitable for homemade burgers?
17,8f75735a-dc95-4de5-8ceb-5d1bd903f3f7,Quick garlic & basil ciabatta starter I can make for a dinner party — ready in about 8 minutes?
17,8f75735a-dc95-4de5-8ceb-5d1bd903f3f7,"Easy ciabatta garlic bread with mayo, butter and parmesan — simple recipe for a small loaf?"
17,8f75735a-dc95-4de5-8ceb-5d1bd903f3f7,Is there a garlic and basil ciabatta that's around 224 kcal per serving?
17,8f75735a-dc95-4de5-8ceb-5d1bd903f3f7,How can I make an easy ciabatta side using just 2 cloves of garlic and fresh basil?
17,8f75735a-dc95-4de5-8ceb-5d1bd903f3f7,5-star garlic & basil ciabatta that's ready under 10 minutes — where's the recipe?
18,e30bda29-cf26-4de2-9ce1-0390e9e01de2,Cheese-stuffed garlic dough balls with tomato sauce dip — recipe that uses mozzarella (and optional gruyère)?
18,e30bda29-cf26-4de2-9ce1-0390e9e01de2,"Easy-to-share starter: cheesy garlic dough balls flavoured with rosemary and garlic butter (more-effort recipe, around 75 minutes total)?"
18,e30bda29-cf26-4de2-9ce1-0390e9e01de2,How do I make mozzarella-stuffed garlic dough balls served with a passata-based tomato dip and fresh basil?
18,e30bda29-cf26-4de2-9ce1-0390e9e01de2,"Looking for a 5-star recipe for garlic bread balls made with strong white bread flour, fast-action yeast and a cheesy filling — is this the one?"
18,e30bda29-cf26-4de2-9ce1-0390e9e01de2,"What's the prep and cook time for homemade cheese-stuffed garlic dough balls (about 40 min prep, 35 min cooking)?"
19,e72f3d35-5c4e-45d2-bebd-0f92710846f0,Easy 20-minute cheesy garlic baguette with mozzarella and Taleggio — how do I make this family-friendly side for soup or pasta?
19,e72f3d35-5c4e-45d2-bebd-0f92710846f0,Is there a recipe for melty mozzarella and Taleggio garlic bread on a baguette that's kid-friendly and highly rated (5 stars)?
19,e72f3d35-5c4e-45d2-bebd-0f92710846f0,"Can I make a cheesy garlic baguette using butter, garlic and a pinch of paprika in about 20 minutes with no cooking time?"
19,e72f3d35-5c4e-45d2-bebd-0f92710846f0,"What's a simple, easy garlic bread recipe using a whole baguette with parsley and optional marjoram?"
19,e72f3d35-5c4e-45d2-bebd-0f92710846f0,Quick crowd-pleasing cheesy garlic baguette using a mozzarella ball and Taleggio — ready in under half an hour?
20,d53c5938-3a5b-4252-939e-2a029da06298,Easy cheesy garlic bread recipe using ciabatta loaves and Parmesan — ready in about 17 minutes?
20,d53c5938-3a5b-4252-939e-2a029da06298,"How do I make crispy garlic bread with a buttery, garlicky centre using 2 ciabatta loaves?"
20,d53c5938-3a5b-4252-939e-2a029da06298,Quick side of cheesy garlic toasts to serve with lasagne that takes 10 minutes prep and 7 minutes cook?
20,d53c5938-3a5b-4252-939e-2a029da06298,Simple garlic bread with parsley and grated Parmesan — highly rated 5-star recipe and around 230 kcal per serving?
20,d53c5938-3a5b-4252-939e-2a029da06298,"What’s an easy, no-fuss garlic bread recipe using softened butter and 4–6 cloves of garlic?"
21,d4b2dbbb-9638-4acc-96c7-c4ad957539ae,Easy cheesy garlic bread wedges with Jarlsberg — is this the recipe that takes about 45 minutes to make?
21,d4b2dbbb-9638-4acc-96c7-c4ad957539ae,How do I make gooey Jarlsberg garlic bread using a round French country loaf or ciabatta?
21,d4b2dbbb-9638-4acc-96c7-c4ad957539ae,Can I add chopped parsley and crushed dried chillies to garlic bread wedges for a bit of heat?
21,d4b2dbbb-9638-4acc-96c7-c4ad957539ae,What are the nutrition facts for these cheesy garlic bread wedges — is it around 152 kcal and 5g protein per serving?
21,d4b2dbbb-9638-4acc-96c7-c4ad957539ae,Is there a highly rated (4-star) easy garlic bread recipe that uses 85g butter and 2 garlic cloves?
22,5d5790ac-16b1-44ca-bc74-37d2acd7c99b,Easy garlic bread pizzas with homemade dough — can I make them in about 40 minutes?
22,5d5790ac-16b1-44ca-bc74-37d2acd7c99b,"Quick garlic bread pizza topped with mozzarella, fresh tomatoes and basil — good snack idea?"
22,5d5790ac-16b1-44ca-bc74-37d2acd7c99b,Beginner-friendly garlic bread pizzas using garlic butter and extra-virgin olive oil — is this 4-star recipe worth trying?
22,5d5790ac-16b1-44ca-bc74-37d2acd7c99b,How do I make garlic bread pizzas from scratch using strong white flour and fast-action yeast?
22,5d5790ac-16b1-44ca-bc74-37d2acd7c99b,Garlic bread pizzas that need 25 minutes prep and 15 minutes cooking — any tips for getting a crispy crust?
23,474b5788-2599-493b-a8f7-1a6473adf99b,"How do I make spicy garlic bread with coriander, smoked paprika and red chillies using ciabatta?"
23,474b5788-2599-493b-a8f7-1a6473adf99b,Easy spicy garlic bread recipe that takes about 40 minutes total and makes several loaves?
23,474b5788-2599-493b-a8f7-1a6473adf99b,Where can I find a highly rated (5-star) homemade spicy garlic bread with lashings of spiced butter?
23,474b5788-2599-493b-a8f7-1a6473adf99b,"What proportions of 250g softened butter, garlic and chillies do I need for spicy garlic bread to fill 5 ciabatta loaves?"
23,474b5788-2599-493b-a8f7-1a6473adf99b,Can I make a spicy garlic ciabatta side dish with fresh chillies and smoked paprika in under 45 minutes?
24,17f67054-fdca-41ce-a4bf-f23b68bd75eb,Quick garlic bread nachos recipe using ready-made garlic baguettes and crushed tortilla chips — ready in about 25 minutes?
24,17f67054-fdca-41ce-a4bf-f23b68bd75eb,Easy party side: garlic bread nachos with mature cheddar and spring onions — any simple recipe?
24,17f67054-fdca-41ce-a4bf-f23b68bd75eb,Vegetarian garlic bread nachos served with soured cream and coriander — what's a quick version I can make?
24,17f67054-fdca-41ce-a4bf-f23b68bd75eb,How can I make a 4-star easy garlic bread nachos dish in under 30 minutes?
24,17f67054-fdca-41ce-a4bf-f23b68bd75eb,"What ingredients do I need for garlic bread nachos that layer garlic baguettes, cheddar and tortilla chips?"
25,63d25ca2-c56b-452c-b588-5feb7dfc07ff,Easy crusty garlic bread using a part-baked white baguette — quick 20-minute side kids can help make?
25,63d25ca2-c56b-452c-b588-5feb7dfc07ff,How do I make garlic bread with 60g butter and 2 crushed garlic cloves on a part-baked baguette?
25,63d25ca2-c56b-452c-b588-5feb7dfc07ff,"Quick 5-minute prep, 15-minute bake garlic bread for a crunchy crust — highly rated simple recipe?"
25,63d25ca2-c56b-452c-b588-5feb7dfc07ff,Is there a kid-friendly garlic bread recipe that lets me save extra garlic butter in the fridge or freezer?
25,63d25ca2-c56b-452c-b588-5feb7dfc07ff,Beginner-friendly crusty garlic bread using a part-baked loaf — simple ingredients and easy to make?
26,02b47d43-1ce4-4cd1-aa2a-247239c1327d,How do I make Sardinian-style carta di musica (music-paper) bread to serve with wild garlic butter?
26,02b47d43-1ce4-4cd1-aa2a-247239c1327d,Easy recipe for super-thin crisp flatbread using '00' flour and semolina that finishes in about 55 minutes?
26,02b47d43-1ce4-4cd1-aa2a-247239c1327d,What's a simple starter bread to pair with wild garlic butter and flaky sea salt?
26,02b47d43-1ce4-4cd1-aa2a-247239c1327d,"Can a beginner make this ultra-thin music paper bread (prep 20 min, cook 35 min) at home?"
26,02b47d43-1ce4-4cd1-aa2a-247239c1327d,"Looking for an easy, lightly crisp flatbread recipe (Sardinian-inspired) to serve with flavoured butter—how is the texture and difficulty?"
27,eb542dec-4ca5-4e03-94fb-fab582012207,"How can I make an easy lamb and garlic bread salad with lamb cutlets, mint and charred cucumber in about 55 minutes?"
27,eb542dec-4ca5-4e03-94fb-fab582012207,"Do you have a simple garlic bread salad recipe that uses a cook-at-home garlic baguette, lemon-mint dressing and lamb cutlets for a midweek meal?"
27,eb542dec-4ca5-4e03-94fb-fab582012207,"Looking for an al fresco lunch idea: lamb cutlets served with garlic baguette, tomatoes and parsley — any easy recipes?"
27,eb542dec-4ca5-4e03-94fb-fab582012207,"Easy recipe for lamb cutlets with charred cucumber, tomato and a touch of honey — this one has a 4-star rating, right?"
27,eb542dec-4ca5-4e03-94fb-fab582012207,"Can I make a garlic bread salad using 8 lamb cutlets and a garlic baguette for a small gathering, prep about 20 mins?"
28,cd869596-3ba4-4385-9cd5-6db2ea679ed5,Is there a pull-apart Christmas tree garlic bread recipe with melted mozzarella centers and a tomato dipping sauce?
28,cd869596-3ba4-4385-9cd5-6db2ea679ed5,"Festive garlic bread for a party that takes about 100 minutes total (45 min prep, 55 min cook) — any recipes?"
28,cd869596-3ba4-4385-9cd5-6db2ea679ed5,Christmas tree-shaped garlic pull-apart bread using mozzarella balls and brushed with garlic butter — how does this recipe work (rated 4)?
28,cd869596-3ba4-4385-9cd5-6db2ea679ed5,"Looking for a more-effort garlic bread made from scratch with strong white flour and fast-action yeast, plus a polenta-lined tin — any matching recipes?"
28,cd869596-3ba4-4385-9cd5-6db2ea679ed5,"Can I make a make-ahead Christmas tree garlic bread stuffed with mozzarella and parsley for a buffet, and what are the timing/effort expectations?"
29,b8f2b281-a5c5-4387-b050-8bd4cfe81873,Can I make a creamy smoked mackerel chowder with hedgehog garlic bread in about 35 minutes?
29,b8f2b281-a5c5-4387-b050-8bd4cfe81873,Easy budget-friendly recipe using smoked peppered mackerel and sweetcorn — chowder with garlic loaf?
29,b8f2b281-a5c5-4387-b050-8bd4cfe81873,What's a simple weeknight recipe for potato and smoked mackerel chowder served with hedgehog-style garlic bread?
29,b8f2b281-a5c5-4387-b050-8bd4cfe81873,"How do I make an easy, highly-rated (5-star) smoked mackerel chowder with an easy garlic loaf?"
29,b8f2b281-a5c5-4387-b050-8bd4cfe81873,"Any quick chowder ideas combining smoked mackerel, potatoes and frozen sweetcorn for a comforting meal?"
30,a1ecbd6a-de28-424f-980e-abd272802b9e,Easy smoked haddock and sweetcorn chowder with herby garlic baguette — how long does it take to make (total about 65 minutes)?
30,a1ecbd6a-de28-424f-980e-abd272802b9e,"What's a simple recipe for a creamy smoked haddock, sweetcorn and potato chowder that uses streaky bacon?"
30,a1ecbd6a-de28-424f-980e-abd272802b9e,Any tips for serving smoked haddock chowder with homemade buttery garlic baguette and lots of parsley?
30,a1ecbd6a-de28-424f-980e-abd272802b9e,Can I make a comforting fish chowder using milk and chicken stock with canned sweetcorn — is it suitable for an easy weeknight meal?
30,a1ecbd6a-de28-424f-980e-abd272802b9e,5-star smoked haddock & sweetcorn chowder — does this version include garlic bread and how hard is it to prepare?
31,bfbab064-135d-46fb-ad40-8f0cd99819ae,Easy one-pot sausage casserole with chorizo and aduki beans — can I make this hearty family meal in about 75 minutes?
31,bfbab064-135d-46fb-ad40-8f0cd99819ae,One-pot chorizo and pork sausage casserole with smoked paprika and thyme — is there a simple recipe for a crowd?
31,bfbab064-135d-46fb-ad40-8f0cd99819ae,Simple weeknight sausage casserole using white wine and cherry tomatoes — an easy recipe for beginners?
31,bfbab064-135d-46fb-ad40-8f0cd99819ae,"Comforting sausage casserole with spicy chorizo, garlic and beans — will this pair well with garlic bread?"
31,bfbab064-135d-46fb-ad40-8f0cd99819ae,5-star easy sausage casserole with cumin and lots of vegetables — suitable for a low-effort family dinner?
32,6a3fd1f9-d513-41d7-b628-d6e347f11a13,Easy garlic & prosciutto plait using malted grain brown flour — can I make this artisan loaf in about 45 minutes?
32,6a3fd1f9-d513-41d7-b628-d6e347f11a13,How do I make a savory plaited bread with crushed garlic and chopped prosciutto that's rated 5 stars?
32,6a3fd1f9-d513-41d7-b628-d6e347f11a13,Can I swap the 400g malted grain brown flour for wholemeal or granary flour in a garlic and prosciutto plait?
32,6a3fd1f9-d513-41d7-b628-d6e347f11a13,Is the garlic and prosciutto plait really only about 81 kcal per serving — good for a lower-calorie savoury bread?
32,6a3fd1f9-d513-41d7-b628-d6e347f11a13,Beginner-friendly garlic bread plait that uses a beaten egg glaze and about 20 minutes prep — is this simple enough for a novice baker?
33,27cfe6ca-0ea6-4c81-9a63-a3609e6e4198,Easy garlic bacon butties with rindless back bacon and tomato chutney — can I make these in about 25 minutes?
33,27cfe6ca-0ea6-4c81-9a63-a3609e6e4198,"What's a simple hangover-cure sandwich using crusty white country loaf, garlic and bacon that's highly rated?"
33,27cfe6ca-0ea6-4c81-9a63-a3609e6e4198,"Quick garlic bread-style butties: recipe using a whole garlic clove, butter and chutney with 10 min prep and 15 min cook?"
33,27cfe6ca-0ea6-4c81-9a63-a3609e6e4198,How do I make an easy bacon and garlic butty for breakfast using a country white loaf and tomato chutney?
33,27cfe6ca-0ea6-4c81-9a63-a3609e6e4198,Do you have a 5-star garlic bacon butty recipe that uses six rashers of back bacon and is super quick to prepare?
34,bd92d295-6572-4bb2-9261-84a5c34be3e1,"How do I make a quick, easy sweet potato and rosemary soup with garlic toasts in about 30 minutes?"
34,bd92d295-6572-4bb2-9261-84a5c34be3e1,"Looking for a rustic, budget-friendly sweet potato soup with rosemary and ciabatta garlic toasts — any simple recipe?"
34,bd92d295-6572-4bb2-9261-84a5c34be3e1,Easy weeknight recipe: sweet potato & rosemary soup that uses 750g sweet potato and makes garlic toast with 8 slices of bread?
34,bd92d295-6572-4bb2-9261-84a5c34be3e1,"Can I make an easy, 4-star sweet potato soup with rosemary and garlic toasts using vegetable stock?"
34,bd92d295-6572-4bb2-9261-84a5c34be3e1,What's a simple garlic-bread-and-soup combo — sweet potato soup flavored with rosemary and quick garlic toasts (10 min prep)?
35,af680c5d-dc01-47e2-a314-2d474afd7c0c,"How do I make a seeded wholemeal loaf using spelt flour and a mix of pumpkin, sunflower, poppy and linseeds?"
35,af680c5d-dc01-47e2-a314-2d474afd7c0c,Is there a hearty wholemeal bread recipe that uses black treacle and an egg yolk glaze and takes about 80 minutes total?
35,af680c5d-dc01-47e2-a314-2d474afd7c0c,"Looking for a 5-star, 'more effort' wholemeal loaf recipe with mixed seeds—any recommendations?"
35,af680c5d-dc01-47e2-a314-2d474afd7c0c,Recipe for a seeded wholemeal loaf using 400g wholemeal and 100g spelt flour with 35 minutes prep and 45 minutes baking?
35,af680c5d-dc01-47e2-a314-2d474afd7c0c,Can I bake a mixed-seed wholemeal loaf suitable for sandwiches using pumpkin and sunflower seeds—what ingredients do I need?
36,27a8ba23-e11e-4030-81a4-534b0dada29d,Easy wholemeal flatbread recipe that uses rapeseed oil and is ready in about 20 minutes?
36,27a8ba23-e11e-4030-81a4-534b0dada29d,How can I make freezer-friendly wholemeal flatbreads from pantry ingredients for batch cooking?
36,27a8ba23-e11e-4030-81a4-534b0dada29d,Quick wholemeal flatbreads using around 350g wholemeal flour — simple recipe for beginners?
36,27a8ba23-e11e-4030-81a4-534b0dada29d,"Simple wholemeal flatbread (easy, 20 min total) with a high user rating — any recommended method?"
36,27a8ba23-e11e-4030-81a4-534b0dada29d,Healthy wholemeal flatbreads made with cold-pressed rapeseed oil — good to freeze and reheat?
37,14ce6f4a-607f-41c4-b625-ffe4ae8aac0b,"What's a good recipe for a wholemeal mixed seed bread with sunflower, poppy and sesame seeds and a hint of black treacle?"
37,14ce6f4a-607f-41c4-b625-ffe4ae8aac0b,"Mixed-seed loaf using wholemeal, rye and quinoa flours — can I bake this in about 55 minutes total?"
37,14ce6f4a-607f-41c4-b625-ffe4ae8aac0b,"Looking for a more-effort, 5-star mixed seed bread that's around 315 kcal and high in protein (≈11g) per portion — any recipes?"
37,14ce6f4a-607f-41c4-b625-ffe4ae8aac0b,Can I substitute quinoa flour with extra rye in a wholemeal seed bread that also uses caraway seeds and treacle?
37,14ce6f4a-607f-41c4-b625-ffe4ae8aac0b,Step-by-step recipe for a dense wholemeal/rye mixed seed bread (sunflower + caraway) — is there one rated highly?
38,f6ddaab0-0064-49ed-964a-9f365b134a9b,Easy rye bread recipe using 200g rye flour and 200g strong white or wholemeal flour — ready in about 50 minutes?
